Job Title,Company,Location,Time Of Work,Job Description
ITSM Senior Analyst - Service Now Developer,Antal International - Egypt -,"Cairo, Egypt ",Full Time,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Analysis · Business Analysis · Finance · Accounting · Financial Analysis
SAP ABAP Analyst,Antal International - Egypt -,"Cairo, Egypt ",Full Time,Not specified · Accounting/Finance · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · SAP · ABAP · Computer Science · Software Engineering · Computer Engineering · SAP ABAP
Senior Software Business Analyst / ERP,Our Education -,"Nasr City, Cairo, Egypt ",Full Time,Experienced · 5 - 10 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Management · Project Management · Software Development · Agile · business · Computer Science
Junior Well Log Analyst,TGT group -,"Kuwait City, Kuwait ",Full Time,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · information technology (it) · computer science · software development · software engineering · engineering · analysis · development
Reporting Specialist,500 Global -,"Riyadh, Saudi Arabia ",Full Time,Not specified · Accounting/Finance · Administration · Analyst/Research · Reporting · Finance · Microsoft Excel · Accounting · Analysis · Financial Analysis · Commerce
"SAP Consultant "" business One""",Egast -,"Bab Sharq, Alexandria, Egypt ",Full Time,Experienced · 2 - 10 Yrs of Exp · Business Development · Analysis · ABAP · business · Computer Science · Data Analysis · Consulting · Information Technology (IT) · SAP · Software
"Group Data Engineer Dubai, United Arab Emirates Posted on 10/09/2023",DP World -,"Dubai, United Arab Emirates ",Full Time,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · azure · ssas · certifications · datawarehouse · certification
SENIOR ENGAGEMENT ANALYST,King Faisal Specialist Hospital & Research Centre -,"Riyadh, Saudi Arabia ",Full Time,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Analysis · Business Analysis · Finance · Accounting · Financial Analysis
Integration Architect,Jordan Dreams -,"Dubai, United Arab Emirates ",Full Time,Not specified · IT/Software Development · C-Level Executive/GM/Director · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Engineering · JSON · XML · XSLT · Engineering
Salesforce Analyst,ManpowerGroup Middle East -,"Dubai, United Arab Emirates ",Full Time,Not specified · IT/Software Development · Analyst/Research · Sales/Retail · information technology (it) · computer science · sales · sales skills · analysis · salesforce · communication skills
