,Brand,Series,Package Dimensions,Resolution,Processor Brand,Processor Type,Processor Speed,Processor Count,RAM Size,Hard Drive Size,Hard Disk Description,Graphics Chipset Brand,Item Weight,Color,Availability Date,Rating,Number Of Ratings,Price
188,DELL,G15-5515R5600H16G512R3050W11,58 x 35 x 8 cm; 2.5 Kilograms,1920x1080 Pixels,AMD,Ryzen 5 5600H,4200 MHz,6,16 GB,512 GB,SSD,NVIDIA,2.5 Kilograms,Phantom Grey,9 November 2022,,,36470
189,LENOVO,IdeaPad Flex 5 14ITL05 - 82HS00QWCC,48 x 28.3 x 7.7 cm; 1.5 Kilograms,1920x1080 Pixels,Intel,Intel Core i5-1135G7,2.4 GHz,4,8 GB,256 GB,SSD,Intel,1.5 Kilograms,Graphite Grey,28 April 2023,,,36240
190,HP,15-FB0033NE,,,Intel,AMD Ryzen 7 5800H,3 GHz,1,8 GB,512 GB,SSD,Intel,2 Kilograms,,11 November 2022,,,35999
191,Dell,Vostro 3500 i5-1135G7.16G.1256G2MX330G.UBU,55 x 35 x 7 cm; 1.8 Kilograms,,Intel,Intel Core i5-1135G7,4200 MHz,4,16,1256 GB,Hybrid,NVIDIA,1.8 Kilograms,Black,1 June 2022,3.1,36,19.
192,Dell,Vostro 3510 i5-1135G7.16G.1256G2MX350G.UBU,49.7 x 32.5 x 7.9 cm; 1.8 Kilograms,,Intel,Intel Core i5-1135G7,4200 MHz,4,16,1256 GB,Hybrid,NVIDIA,1.8 Kilograms,Black,5 June 2022,2.4,4,490.
193,DELL,Vostro 3520 i5-1235U 16G 512G MX550UBU,55 x 35 x 7 cm; 1.66 Kilograms,1920x1080,Intel,Intel Core i5,4.4 GHz,10,16 GB,512 GB,SSD,Intel,1.66 Kilograms,,28 April 2023,5.0,2,175.
194,Dell,Vostro 3510 i5 1135G7 16G 512G UBU,50.5 x 32.7 x 7.8 cm; 1.8 Kilograms,1366x768 Pixels,Intel,Intel Core i5-1135G7,4200 MHz,4,16 GB,512 GB,SSD,Intel,1.8 Kilograms,Black,14 February 2023,1.6,2,23920.
195,ASUS,X515EP-BQ8G7W Laptop,49.4 x 29.8 x 8.2 cm; 1.8 Kilograms,1920x1080 Pixels,Intel,Intel Core i7-1165G7,2.8 GHz,4,8 GB,512 GB,SSD,NVIDIA,1.8 Kilograms,Gray,9 January 2023,1.0,1,29400.
196,HP,15-FB0034NE,,,Intel,Core i3-9300T,3 GHz,1,,,SSD,Intel,2 Kilograms,,11 November 2022,,,34999
197,DELL,Vostro 3520 i7-1255U 16G 512G MX550,49.2 x 32.5 x 7.6 cm; 1.66 Kilograms,1920x1080 Pixels,Intel,Core i7-1255U,1.7 GHz,10,,512 GB,512GB M.2 PCIe NVMe SSD,NVIDIA,1.66 Kilograms,Carbon Black,3 November 2023,,,34854
198,HP,15-DK2087NE,55.4 x 30.6 x 6.8 cm; 2.28 Kilograms,1920 x 1080 Pixels,Intel,Intel Core i5,4400 MHz,4,8 GB,1256 GB,Solid State Hard Drive,NVIDIA,2.28 Kilograms,Black,8 July 2022,3.6,8,34555
199,DELL,Vostro 3520 i7-1255U 8G 512G MX550 UBU,49.4 x 32.4 x 7.9 cm; 1.66 Kilograms,1920x1080 Pixels,Intel,Core i7-1255U,1.7 GHz,10,8 GB,512 GB,512GB M.2 PCIe NVMe SSD,NVIDIA,1.66 Kilograms,Carbon Black,18 August 2023,,,34046
200,DELL,Vostro 3520 i7-1255U 8G 512G MX550,49.5 x 32.5 x 7.4 cm; 1.66 Kilograms,1920x1080 Pixels,Intel,Core i7-1255U,1.7 GHz,10,,512 GB,512GB M.2 PCIe NVMe SSD,NVIDIA,1.66 Kilograms,Carbon Black,3 November 2023,,,34046
201,HP,15-EG2005NE,,,Intel,Core i3-9300T,3 GHz,1,16,1 TB,SSD,Intel,2 Kilograms,,11 November 2022,,,33999
202,HP,14-dy0143ne,48.6 x 32 x 6.6 cm; 1.52 Kilograms,1920 x 1080 Pixels,Intel,Intel Core i5-1135G7,4200 GHz,4,8,512 GB,SSD,Intel,1.52 Kilograms,Silver,13 April 2022,4.0,81,33220
203,Lenovo,IdeaPad 5,51.6 x 30.7 x 7.4 cm; 1.66 Kilograms,1920 x 1080 Pixels,Intel,Core i7,2.8 GHz,4,16 GB,512 GB,SSD,NVIDIA,1.66 Kilograms,Grey,2 July 2021,3.7,4,33105
204,DELL,Dell Vostro 3520,52 x 35 x 7.5 cm; 1.66 Kilograms,1920x1080 Pixels,Intel,Core i7-1255U,1.7 GHz,10,,512 GB,512GB M.2 PCIe NVMe SSD,NVIDIA,1.66 Kilograms,Carbon Black,3 November 2023,,,32946
205,DELL,Vostro 3520 i7-1255U 16G 512G MX550 UBU,50.1 x 32.7 x 7.6 cm; 1.66 Kilograms,1920x1080 Pixels,Intel,Core i7-1255U,1.7 GHz,10,,512 GB,512GB M.2 PCIe NVMe SSD,NVIDIA,1.66 Kilograms,Carbon Black,18 August 2023,,,32680
206,DELL,Vostro 3520 i7-1255U 16G 512G MX550 UBUNTU,49.7 x 32.5 x 7.7 cm; 1.66 Kilograms,1920x1080 Pixels,Intel,Core i7-1255U,1.7 GHz,10,,512 GB,512GB M.2 PCIe NVMe SSD,NVIDIA,1.66 Kilograms,Carbon Black,18 September 2023,1.0,1,32680
207,HP,14-EK0010NE,,,Intel,Core i3-9300T,3 GHz,1,16,512 GB,SSD,Intel,2 Kilograms,,11 November 2022,1.0,1,31999
208,HP,13-BF0003NE,,,Intel,Core i5,3 GHz,1,8 GB,512 GB,SSD,Intel,2 Kilograms,,11 November 2022,,,31999
209,HP,15-FA0089NE,,,Intel,Core i3-9300T,3 GHz,1,8 GB,1 TB,SSD,Intel,2 Kilograms,,11 November 2022,,,31999
210,HP,15-FA0087NE,,,Intel,Core i3-9300T,3 GHz,1,8 GB,1 TB,SSD,Intel,2 Kilograms,,11 November 2022,,,31999
211,HP,15-FA0088NE,,,Intel,Core i3-9300T,3 GHz,1,8 GB,1 TB,SSD,Intel,2 Kilograms,,11 November 2022,,,31999
212,DELL,Dell Vostro 3520,52 x 35 x 7.5 cm; 1.66 Kilograms,1920x1080 Pixels,Intel,Core i7-1255U,1.7 GHz,10,,512 GB,512GB M.2 PCIe NVMe SSD,NVIDIA,1.66 Kilograms,Carbon Black,3 November 2023,,,31920
213,HP,ProBook,50 x 30 x 3 cm; 3 Kilograms,,Intel,Intel Core i7,2.8 GHz,4,8 GB,512 GB,SSD,Intel,3 Kilograms,,3 August 2022,5.0,2,31464
214,DELL,Vostro 3520 i7-1255U 8G 512G MX550 UBUNTU,50.2 x 36.8 x 7.6 cm; 1.66 Kilograms,1920x1080 Pixels,Intel,Core i7-1255U,1.7 GHz,10,8 GB,512 GB,512GB M.2 PCIe NVMe SSD,NVIDIA,1.66 Kilograms,Carbon Black,18 September 2023,,,31313
215,Lenovo,82HU00AQED,47.79 x 28.3 x 6.9 cm; 2 Kilograms,,Intel,AMD Ryzen 7 5700U,3 GHz,1,,512 GB,SSD,NVIDIA,2 Kilograms,Grey,8 April 2023,,,30999
216,HP,15-EG2006NE,,,Intel,Core i3-9300T,3 GHz,1,16,512 GB,SSD,Intel,2 Kilograms,,11 November 2022,1.0,1,30999
217,DELL,G15-5515 R5 600H 8G 512G RTX3050 WIN11,52.2 x 32.6 x 7.9 cm; 2.5 Kilograms,1920 x 1080 Pixels,AMD,Ryzen 5 5600H,4200 MHz,6,8 GB,512 GB,SSD,NVIDIA,2.5 Kilograms,Phantom Grey,14 February 2023,,,30982
218,Dell,Vostro 3520 i7-1255U 16G 512G UBU,55 x 35 x 7 cm; 1.66 Kilograms,1920x1080,Intel,Intel Core i7,4.7 GHz,10,16 GB,512 GB,SSD,Intel,1.66 Kilograms,Carbon Black,12 March 2023,5.0,1,30982
219,Dell,Vostro 3520 i7-1255U 8G 512G Iris UBU,49.7 x 32.7 x 7.6 cm; 1.66 Kilograms,1920x1080,Intel,Intel Core i7,4.7 GHz,10,16 GB,512 GB,SSD,Intel,1.66 Kilograms,,28 April 2023,,,30982
220,Dell,Vostro,,,Intel,Intel Core i5,2.4 GHz,4,8 GB,"1.00, 256.00 TB",,NVIDIA,2.8 Kilograms,,9 September 2021,3.4,11,30000
221,HP,15-dw3089ne,,1366x768 Pixels,Intel,Intel Core i5-1135G7,4200,4,8 GB,512 GB,SSD,NVIDIA,1.75 Kilograms,Black,13 July 2022,3.9,11,95.
222,HP,14-DV2007NE,,,Intel,Core i3-9300T,3 GHz,1,,512 GB,SSD,Intel,2 Kilograms,,11 November 2022,,,29999
223,MSI,GF63 Thin Gaming,45 x 40 x 33 cm; 2 Kilograms,1920x1080 Pixels,Intel,Core i5-10500,2.5,6,4 GB,1 TB,HDD,"Intel, NVIDIA",2 Kilograms,Core Black,10 April 2022,,,29999
224,DELL,Vostro 3520 i5-1235U 8G 512G MX550UBU,55 x 35 x 7 cm; 1.66 Kilograms,1920x1080,Intel,Intel Core i5,4.4 GHz,10,8 GB,512 GB,SSD,Intel,1.66 Kilograms,,28 April 2023,3.0,1,29657
225,Lenovo,82QD008LED,32 x 16.9 x 6.7 cm; 1.63 Kilograms,1920x1080 Pixels,Intel,Core i7-1255U,1.7 GHz,10,8 GB,512 GB,"512GB SSD M.2 2280 PCIe® 3.0x4 NVMe®, SSD",Intel,1.63 Kilograms,Abyss Blue,16 May 2023,5.0,1,29594
